prompt,style
"A beautiful sunset over a forest","realistic"
"A futuristic city skyline at night with flying cars","cyberpunk"
"A watercolor painting of a mountain village","artistic"
"A cute baby panda playing with bamboo","photorealistic"
"A majestic dragon flying above the clouds","fantasy"
"A neon-lit coffee shop at midnight","modern"
"A cozy cabin in the snow with smoke from chimney","winter scene"
"A futuristic astronaut meditating on Mars","sci-fi"
"A tranquil beach with palm trees and crystal clear water","tropical"
"An ancient castle surrounded by mist and fireflies","mystical"
