text,label
"I love how easy this app is to use!","Positive"
"This is the worst experience I've ever had.","Negative"
"I feel okay about the results, nothing special.","Neutral"
"The movie was amazing and the acting was top notch.","Positive"
"I am disappointed with the delay in response.","Negative"
"I'm just chilling today, not doing much.","Neutral"
"That restaurant serves fantastic food!","Positive"
"My phone battery dies way too fast, it's annoying.","Negative"
"It's fine, I don't really mind.","Neutral"
"Great customer service, will recommend to others.","Positive"
